2018年12月10日（昼）,4432557,4157339,3871499,3528219,3279334,3254921,2782854,2645426,2671879,2407033,2374405,2328776,2279004,2244013,2222340,2203349,2145283,2147711,2142506,2055382,2050025,2019021,2041771,1944610,1868900,1874000,1806632,1817337,1803909,1729380,1700338,1670903,1671211,1654236,1649889,1628930,1634895,1570100,1574014,1572440,1519402,1547115,1475152,1495816,1379612,1352421,1338086,1337998,1315664,1314474,1326675,1314034,1311412,1310197,1298343,1310573,1305064,1269508,1272173,1319027,1278106,1260821,1294519,1250547,1259545,1249921,1253002,1244776,1226519,1212677,1219470,1192752,1164871,1159206,1175759,1146772,1134767,1144384,1136072,1119301,1144083,1113090,1101291,1094125,1078740,1117584,1068901,1072681,1050581,1043515,1058507,1048908,1030932,1023612,1039046,1015811,994844,998370,1007031,981652,976857,970337,960272,958814,954439,942462,970189,924327,908939,920755,907299,904192,894628,876221,906805,867964,892106,860134,855276,860191,860556,850613,839450,831253,837274,829464,828305,823025,819692,800270,799099,798164,784413,790352,788304,771764,776623,773160,768033,787282,764636,855088,761414,754325,752986,745723,759007,742399,729669,726676,734530,740790,719146,716869,719346,716164,730697,711415,705037,706744,704162,702760,703614,699448,706047,696698,685274,673206,668426,668948,669802,669043,656085,660520,661100,656924,659788,659781,649123,648254,647379,649836,656344,641546,645805,659752,638379,636553,632809,631939,623527,623787,627065,610705,610505,613660,612553,604041,609045,599054,597693,598964,595734,603596,590981,593413,588503,585266,579658,593141,613077,588368,592197,578666,594635,602426,582826,573037,577551,583166,572990,589899,570020,567703,569424,573075,599338,571204,565882,567512,566004,562757,561264,565872,558065,555695,554684,554110,543495,542148,552887,541300,541422,538261,548929,532549,541942,529116,529978,524659,525463,523035,518665,519519,537704,567474,516447,566444,514131,514352,506578,508939,529618,503591,513237,506243,496978,506608,498226,504208,491035,493109,488814,498645,481659,493945,479331,479261,484422,496531,468002,422333,446216,410189,393789,361667,360694,305237,272502,241013,234071,216958,209521,223606,166961,166175,162915,164004,160766,162756,153644,148895,151015,139539,132198,119839,118017,99049,98180,86455,81690,79707,72851,72634,70113,68210,64539,66225,63480,58019,55839,55873,50819,50072
2018年12月10日（夜）,4433656,4159371,3872493,3528104,3280214,3256533,2783814,2646886,2675681,2408266,2376167,2330384,2278840,2245388,2223160,2207913,2145463,2148047,2143339,2055732,2050321,2019762,2043089,1942939,1869486,1876650,1806721,1818829,1804849,1730088,1700688,1671475,1671927,1655120,1650657,1628982,1635692,1570788,1574947,1577275,1520100,1551700,1475067,1500127,1380608,1352855,1338360,1338415,1315768,1314567,1327163,1314482,1311656,1310542,1298587,1311353,1305836,1269624,1272752,1322261,1278784,1260880,1295829,1251121,1260236,1250913,1253988,1246150,1226690,1212905,1221297,1193616,1165570,1159527,1176629,1147047,1134709,1144978,1136688,1119758,1148049,1113756,1101641,1094779,1079184,1118523,1069465,1073296,1050633,1044043,1059816,1049803,1031330,1023849,1039906,1017755,995088,999274,1007814,981902,976829,970569,961849,959583,955824,943004,970980,924492,908921,920780,907402,904640,894835,876249,909760,868089,893759,860301,855150,860464,861243,851002,839617,831336,838913,830048,829255,823906,822131,800306,799955,798896,784502,790792,788604,771887,776804,773337,770031,788188,764789,857623,761885,754477,753254,745710,759719,742953,729762,726831,734900,741663,719218,717010,719556,716198,733173,711617,705141,707011,704393,703155,704059,700115,706929,697605,686142,673125,668368,669043,669888,669104,655276,660589,661375,656968,660100,660172,649185,648302,647740,650349,656689,641593,646206,661716,638564,636723,632891,632221,623954,624341,627250,610667,610642,613857,615604,604552,609500,599120,597764,599031,596020,604015,591158,593726,588811,585235,579554,593614,614937,589226,592620,578709,595212,603687,583174,572891,577666,583603,572324,590006,570153,567776,569510,573498,601420,571656,565941,567669,566578,562808,561378,566415,558103,555677,555180,554476,543419,542199,553280,541468,542396,538424,549602,532626,542538,529120,530454,524837,525663,523129,518983,519616,544410,570933,516566,569346,514174,514381,506758,509511,530366,503887,514057,506766,497097,507598,498048,505082,491213,493478,489250,499394,482343,494411,480063,479518,484855,500007,469682,422360,447248,410531,393976,361850,360832,305369,273011,241117,234101,217003,209603,224742,166967,166238,163210,164177,160801,163023,153652,148934,151267,139519,132209,119866,118094,99036,98179,86496,81742,79707,72852,72653,70157,68239,64545,66283,63504,58010,55840,56114,50816,50064
2018年12月11日（昼）,4434223,4161968,3872871,3528005,3280737,3257271,2784202,2647197,2676803,2408671,2377201,2331602,2278846,2246162,2223527,2212826,2145467,2148212,2143697,2055680,2050442,2019988,2043717,1942171,1869714,1877570,1806820,1819478,1805404,1730241,1700620,1671634,1672184,1655578,1652474,1628974,1636005,1571285,1575402,1578621,1520528,1553687,1474957,1502161,1381070,1353060,1338434,1338544,1315792,1314557,1327388,1314533,1311760,1310584,1298654,1311607,1306508,1269753,1272922,1324427,1280856,1260879,1296285,1251341,1260392,1251281,1254463,1246839,1226742,1213074,1227111,1194149,1165960,1159640,1177000,1147145,1134672,1146573,1136921,1119919,1149578,1114072,1101775,1095160,1079276,1119221,1069677,1073659,1050618,1044318,1060405,1050143,1031475,1023890,1040438,1018106,995403,999582,1008126,982013,976818,970911,962314,959913,957499,943265,971403,924542,908906,920795,907658,904663,894913,876290,910797,868213,894955,860358,855086,860499,861449,851177,839706,831386,839618,830477,829743,824257,825486,800332,800262,799227,784546,790896,788702,771933,776899,773433,770562,788503,764832,858577,762076,754546,753451,745701,760044,743165,729795,726868,735049,742067,719230,717235,719675,716387,733891,711671,705170,707150,704504,703311,704272,700356,707362,697963,686483,673154,668347,669081,669904,669154,655205,660609,661496,656954,660242,660456,649206,648328,647872,650411,656898,641618,646297,662246,638688,636804,632944,632373,624282,624533,627359,610669,611805,614079,617168,604772,609685,599139,597787,599063,596053,604177,591232,593916,588892,585300,579500,593825,617330,589657,592801,578718,595480,604735,583310,572779,577727,583962,572025,590016,570193,567830,569540,573673,602117,571821,565962,567735,566769,562854,561398,566618,558101,555666,555356,554691,543370,542206,553451,541548,542719,538523,549864,532666,542793,529125,530551,524894,525757,523223,519071,519714,546351,572444,516647,570956,514176,514418,506823,509670,530846,504035,514592,507145,497149,508007,498157,505441,491320,493664,489484,499989,482666,494392,480562,479635,485098,503942,471226,422362,447763,410699,394117,361889,360904,305407,273196,241166,234106,217024,209621,225236,166974,166284,163269,164227,160802,163127,153656,148950,151411,139519,132212,119906,118134,99028,98182,86519,81774,79706,72852,72653,70185,68239,64549,66303,63513,58008,55841,56200,50816,50059
2018年12月11日（夜）,4435401,4167316,3873792,3527867,3282027,3259191,2784926,2648224,2679237,2409786,2378236,2334013,2278810,2247519,2224248,2223322,2145561,2148556,2144385,2055703,2050825,2020393,2044731,1941249,1870139,1883413,1807044,1820969,1806843,1730629,1700929,1671916,1672889,1656433,1656284,1629026,1636580,1572023,1576271,1580723,1521086,1557407,1474939,1505856,1382147,1353394,1338735,1339046,1315892,1314752,1327824,1314735,1312044,1311762,1298942,1312096,1307377,1269858,1273402,1328395,1281643,1260877,1297472,1251837,1260802,1252050,1255391,1248624,1226973,1213385,1231859,1194698,1166579,1159928,1177532,1147244,1134636,1148129,1137435,1120257,1152433,1114704,1102093,1095810,1079524,1119919,1070246,1074990,1050705,1044864,1061842,1050940,1031757,1024131,1041383,1018978,995690,1000333,1008915,982300,976953,971453,962997,960578,959745,944139,972061,924694,908859,920911,907787,904964,895277,876278,912632,868437,896152,860519,854949,860546,861889,851780,839867,831470,840840,830907,830453,825429,830250,800370,800821,799743,784451,791114,788950,772077,777236,773659,772172,789585,765006,860622,762452,754691,753993,745809,760668,743430,729861,726989,735441,743008,719311,717416,719925,716576,734829,712027,705253,707289,704733,703604,704729,700969,708651,698593,687220,673281,668297,669192,669971,669072,655105,660701,661721,657013,660460,660989,649337,648401,648258,651110,657295,641700,646587,663124,638939,636970,633019,632585,624951,625011,627592,610656,614394,615040,619934,605168,610233,599224,597879,599409,596128,605104,591395,594232,589019,585630,579401,594340,621492,590670,593122,578746,596019,606983,583697,572652,577851,584321,571727,589138,570314,567941,569643,574069,604079,572287,566005,567962,567481,562964,562055,566985,558139,555642,555728,555331,543279,542263,553692,541676,543187,538742,550574,532673,543626,529201,530779,525071,526071,523319,519300,519839,548800,575952,516767,573367,514304,514597,506995,510072,531693,504363,516026,507524,497319,509404,498510,506162,491593,494034,489719,500416,483198,494764,481920,479939,485697,514672,472771,422386,448623,411082,394444,361938,361045,305467,273528,241261,234126,217068,209673,226272,166988,166342,163347,164444.3333,160807,163442,153644,148971,151676,139562,132227,119957,118201,99019,98190,86552,81823,79706,72877,72666,70211,68258,64557,66366,63532,58002,55843,56393,50811,50048
2018年12月12日（昼）,4436225,4168716,3874225,3527771,3282454,3259676,2785347,2648800,2680129,2410248,2378751,2335028,2278859,2248266,2224530,2226932,2145655,2148717,2144693,2055696,2050936,2020543,2045209,1940846,1870356,1884767,1807124,1821710,1807323,1730755,1701166,1672053,1673120,1656809,1657722,1629043,1636792,1572195,1576629,1581381,1521491,1558667,1474868,1508939,1382679,1353602,1338825,1339224,1315922,1314869,1328021,1314798,1312142,1312633,1299000,1312270,1307805,1269900,1273529,1330197,1281970,1260884,1297935,1251842,1260945,1252304,1255735,1249249,1227239,1213657,1234678,1195373,1166719,1160037,1177812,1147275,1134610,1148556,1137614,1120407,1154351,1115067,1102220,1096206,1079643,1120172,1070444,1075540,1050722,1045229,1062283,1051310,1031845,1024175,1042049,1019214,995774,1000580,1009283,982399,977149,971632,963109,960815,960508,944436,972395,924738,908827,920977,908084,905122,895334,876328,913427,868511,896771,860573,854891,860625,862045,852131,839968,831460,841309,831270,830857,825750,832130,800380,801080,800124,784420,791333,789032,772344,777391,773774,772733,789979,765064,861387,762610,754772,754192,745788,761284,743506,729902,727031,735736,743480,719340,717487,720041,716640,735410,712130,705259,707390,704798,703737,704915,701124,709439,698851,687522,673336,668283,669218,670034,670765,655019,660750,661813,657000,660678,661171,649369,648406,648435,651171,657515,641722,646773,663449,639080,637026,633044,632729.3333,625188,625137,627671,610647,614991,615314,620508,605285,610432,599240,597904,599496,596208,605550,591465,594370,589098,585646,579357,594573,622820,591264,593284,578771,596274,607715,583829,572582,578083,584564,571662,588858,570351,567977,569675,574206,605284,572396,566008,568057,567768,563004,562085,567057,558156,555624,555874,555659,543245,542308,553755,542075,543385,538842,550981,532691,543837,529213,530874,525124,526128,523349,519381,519878,549780,577495,516833,575226,514333,514673,507059,510248,532207,504563,516808,507786,497410,510811,498663,506345,491692,494226,489824,501218,483364,494850,482263,480029,485927,517321,473706,422386,449009,411241,394788,361937,361129,305510,273636,241296,234143,217071,209696,226663,166971,166371,163391,164661.6667,160813,163569,153640,148987,151756,139559,132231,119976,118209,99016,98191,86560,81867,79706,72872,72680,70320,68265,64563,66401,63532,58000,55840,56476,50790,50045
2018年12月12日（夜）,4437049,4171235,3875172,3527590,3283626,3260770,2786246,2649525,2681785,2411622,2380029,2336722,2278738,2249805,2225104,2232952,2145971,2149054,2145195,2055677,2051273,2020757,2046136,1939907,1870843,1888437,1807205,1823297,1808637,1730793,1701938,1672541,1673653,1657747,1661257,1629074,1637359,1572762,1577298,1582275,1521896,1560440,1474335,1513188,1384629,1353937,1339086,1339313,1315984,1314845,1328433,1314938,1312424,1314329,1299178,1312684,1308626,1269973,1273906,1333562,1282715,1260934,1298992,1251960,1261355,1252884,1256532,1252218,1227634,1213430,1241048,1196247,1166974,1160288,1178531,1147411,1134558,1149226,1138030,1120716,1160177,1115769,1102503,1097070,1079839,1120770,1070940,1076328,1050823,1045990,1063473,1052151,1032401,1024708,1043167,1018565,996090,1003582,1010044,982600,977483,971988,963409,961281,961857,945120,973100,924851,908786,921149,908207,905240,895623,876341,914953,868708,897865,860709,854771,860892,862353,852501,840163,831431,842264,831627,831570,826494,834125,800422,801500,800663,784389,791484,789255,773208,777897,774015,773225,790788,765202,863146,762874,754870,754692,745862,763298,743706,729967,727121,736031,744469,719424,717654,720262,716702,745874,712234,705298,707317,705011,704002,705343,701603,711299,699281,687825,673487,668237,669257,670125,673776,654700,660902,662014,657045,660860,661657,649479,648454,648899,652088,657973,641791,646903,664432,639366,637270,633134,632873.6667,625794,625200,627835,610633,616057,616176,621835,605571,610857,599289,597956,599617,596256,607008,591708,594617,589387,585723,579273,594933,624920,592162,593721,578787,596794,609818,584080,572453,578499,584987,571596,588750,570466,567963,569770,574616,606783,572779,566025,568284,568056,563064,562194,567235,558260,555602,556326,556173,543181,542399,553973,542804,543750,539025,551388,532800,544497,529221,531096,525209,526327,523442,519462,520014,551881,581542,516938,577719,514437,514851,507264,510615,532721,504980,517413,508381,497526,514007,498989,506960,491965,494587,490116,502443,483816,494725,483369,480777,486388,523470,475269,422398,450177,411511,395062,361964,361213,305610,273866,241401,234159,217106,209778,227635,166954,166405,163456,164879,160812,163798,153637,149006,151920,139570,132240,120018,118276,99010,98197,86592,81911,79701,72876,72685,70447,68274,64561,66455,63537,57997,55843,56601,50766,50035
2018年12月13日（昼）,4437567,4172387,3875605,3527500,3284480,3261171,2786725,2649754,2682414,2412166,2380593,2337554,2278741,2250560,2225417,2235431,2146068,2149261,2145697,2055655,2051371,2020971,2046599,1939406,1871009,1889475,1807263,1824195,1809188,1730872,1702327,1672871,1673911,1658249,1662471,1629078,1637599,1572867,1577816,1582669,1522213,1561627,1474147,1514832,1385971,1354114,1339203,1339318,1315982,1314903,1328640,1314991,1312512,1315150,1299233,1312846,1309519,1270032,1274054,1335565,1283134,1260985,1299427,1251989,1261559,1253172,1256883,1252903,1227861,1213360,1243841,1196695,1167027,1160392,1178882,1147284,1134535,1150491,1138208,1120847,1161979,1116169,1102621,1097529,1079890,1121071,1071147,1076543,1050826,1046686,1063831,1052494,1032703,1024967,1043841,1018366,996293,1004436,1010404,982679,977557,972139,963548,961413,962597,945363,973482,924907,908784,921258,908534,905381,895677,876595,915777,868831,898468,860798,854708,861010,862468,852640,840257,831531,842758,831984,831987,826815,834967,800471,801655,801112,784403,791655,789358,773478,778090,774143,773370,791075,765249,863825,763007,754918,754791,745861,763685,743776,729981,727145,736179,744942,719444,717720,720369,716714,748493,712336,705297,707319,705098,704158,705502,701873,712129,699474,688061,673548,668221,669278,670200,676787,654661,660949,662141,657056,661042,661896,649495,648520,649071,652137,658355,641828,647033,664789,639471,637445,633178,633018,626316,625211,627990,610634,616529,616607,622198,605690,611023,599288,597975,599678,596303,607493,591835,594743,589493,585710,579213,595115,627064,592598,594035,578804,597119,610456,584186,572355,578640,585199,571550,588459,570500,567984,569809,574752,607485,572913,566043,568331,568186,563100,562220,567293,558248,555596,556785,556414,543154,542424,554063,542988,543899,539078,551616,532872,544790,529224,531155,525234,526390,523500,519519,520077,553188,583543,517000,579112,514460,514919,507315,510758,533061,505172,518019,508715,497588,515077,499168,507353,492127,494749,490216,502602,483983,494696,483783,481123,486656,525510,476833,422394,453491,411673,395277,361949,361271,305711,273981,241459,234163,217128,209813,228351,166942,166428,163474,164958,160819,163914,153642,149013,151983,139571,132244,120054,118322,98999,98199,86597,81934,79700,72875,72686,70540,68298,64567,66486,63546,57995,55840,56681,50758,50031
2018年12月13日（夜）,4438637,4174511,3876560,3527348,3285334,3262357,2787682,2650402,2684070,2413327,2382512,2338905,2278494,2252141,2226038,2241634,2146245,2149642,2146320,2055724,2051755,2021351,2049451,1938479,1871501,1897652,1807308,1827862,1810406,1731123,1703377,1673146,1674545,1659446,1664569,1629142,1638172,1573273,1578687,1583592,1522928,1564148,1473375,1517172,1387931,1354472,1339569,1339608,1316029,1315352,1329068,1315186,1312827,1316728,1299403,1313249,1311196,1270114,1274391,1339232,1283824,1261052,1300880,1252079,1262143,1253969,1257685,1253861,1228355,1213548,1247823,1197562,1167288,1160653,1179454,1147410,1134525,1153543,1138647,1121140,1163864,1116881,1102979,1098180,1080125,1121721,1071922,1077271,1050893,1047374,1064993,1053484,1033173,1025716,1044865,1018502,996802,1005380,1011336,982913,977724,972372,963967,961825,964603,945854,974156,925059,908713,921496,908674,905555,895810,876219,918966,869054,899690,860888,854588,861306,862929,853251,840884,831631,843892,832437,832972,827615,836591,800563,801948,801747,784358,792004,789629,774035,778522,774489,773877,791809,765394,865563,763323,755035,755060,745868,764167,745256,730036,727261,736500,745952,719513,717914,720631,716738,751903,712702,705335,707968,705358,704464,705948,702511,713653,699861,688710,673695,668168,669357,670313,678280,653614,661051,662402,657092,661305.3333,662500,649640,648610,649567,652384,658832,641897,649601,665955,639724,637966,633246,633195,626717,625315,628227,610646,617483,617349,623212,605916,611535,599324,598064,599758,596364,608426,592058,595031,589733,585896,579104,595504,630572,593347,595093,578837,597541,611928,584541,572215,578880,585582,571494,587340,570613,568078,569913,575130,608788,573273,566078,568610,568558,563129,562309,567425,558319,555585,557917,556857,543097,542516,554267,543287,544554,539210,552075,532969,545618,529239,531351,525432,526660,523612,519652,520235,555206,587878,517128,581319,514543,515103,507530,511068,533868,505644,518646,509332,497756,516897,499418,508064,492479,495075,490541,502598,484423,494585,484402,481929,487168,528688,478394,422310,456838,412162,395492,361968,361393,305792,274239,241562,234174,217184,209888,230234,166919,166453,163535,165048,160818,164172,153646,149040,152187,139586,132268,120120,118350,98979,98200,86622,81978,79692,72893,72695,70601,68322,64571,66575,63588,57992,55837,56793,50750,50025
2018年12月14日（昼）,4439177,4175274,3876516,3526655,3285749,3262798,2788203,2650635,2684756,2413802,2383699,2340107,2278347,2253034,2226313,2245109,2146367,2149910,2146596,2055719,2051884,2021542,2050121,1938069,1871795,1899979,1807314,1828857,1810824,1731189,1703911,1673268,1674806,1660351,1665338,1629160,1638408,1573460,1579367,1583983,1523259,1565454,1473197,1518377,1388718,1354691,1339675,1339796,1316046,1315489,1329336,1315220,1312953,1317404,1299456,1313647,1312019,1270170,1274552,1341302,1284062,1261111,1301668,1252118,1262349,1254270,1257971,1254356,1228603,1213735,1248765,1198054,1167390,1160759,1179765,1147443,1134522,1155017,1138862,1121280,1164577,1117349,1103140,1098733,1080290,1121969,1072236,1077573,1050925,1047698,1065442,1053908,1033280,1026010,1045465,1019097,997187,1005694,1011818,983016,977747,972366,964151,962462,966076,946080,974534,925132,908663,921633,908925,905619,895907,876116,923747,869188,900321,860953,854490,861406,863059,853507,841096,831696,844487,832735,833417,827964,837632,800683,802049,802139,784352,792232,789750,774245,778713,774635,774254,792232,765443,866269,763484,755073,755105,745868,764480,746060,730058,727292,736733,746466,719582,717988,720718,716751,754446,712812,705366,708202,705439,704598,706167,702713,714402,700297,688899,673684,668143,669381,670400,679455,654190,661081,662472,657124,661568.6667,662834,649656,648640,649756,652658,659160,641942,651308,666336,639817,638243,633265,633275,626980,625347,628341,610644,617795,617436,623560,605985,611745,599338,598093,599837,596377,608952,592127,595173,589859,585891,579060,595703,632201,593759,595557,578863,597895,612583,584817,572142,579033,585910,571466,587087,570646,568147,569930,575445,609563,573346,566118,568753,568711,563187,562334,567459,558379,555582,558417,557131,543058,542568,554364,543417,544801,539279,552322,533000,545897,529564,531410,525527,526862,523654,519796,520340,557764,589653,517184,582587,514547,515270,507590,511198,534151,505883,518907,509858,497872,517815,499579,509520,492596,495229,490630,502758,484655,494601,484890,482309,487395,529769,481674,422279,459131,412462,395633,361972,361453,305867,274344,241614,234186,217218,209908,230767,166905,166477,163576,165082,160820,164276,153652,149067,152299,139581,132279,120177,118387,98971,98195,86643,81999,79685,72897,72701,70642,68337,64576,66611,63642,57988,55841,56842,50741,50021
2018年12月14日（夜）,4440366,4177273,3877789,3525963,3287335,3264325,2789160,2652099,2690465,2415374,2384887,2341915,2278315,2255009,2227183,2251511,2146626,2150179,2147385,2055763,2052235,2021693,2051969,1937156,1872588,1906380,1807397,1831903,1811846,1731463,1705106,1673486,1675428,1661747,1667720,1629179,1639095,1574079,1580373,1585168,1523816,1569588,1473016,1520327,1391523,1355072,1340106,1340215,1315823,1315712,1330380,1315460,1313446,1318558,1299695,1314046,1313481,1269933,1275538,1344556,1284653,1261171,1303868,1252308,1262917,1255011,1258847,1255711,1228866,1213922,1250676,1198640,1167700,1161174,1180291,1147607,1134480,1156628,1140141,1121767,1166618,1117817,1103555,1099920,1080455,1122556,1073045,1078107,1051001,1048210,1067144,1055241,1033808,1026540,1046616,1019247,997548,1006643,1012845,983215,977844,972519,964944,963504,969275,946923,976404,925270,908614,922282,909068,905607,896254,876069,928529,869401,902009,861179,854394,861669,863380,854073,857586,831818,845556,834281,834181,828965,838978,800878,802328,802885,784379,792685,790055,774889,779116,774928,774632,793003,765629,868463,763950,755088,755749,745900,765145,749417,730169,727444,737087,747618,719652,718072,721065,716724,758635,712897,706888,708841,705645,704862,706619,703240,715938,700733,689230,673795,668098,669436,670518,680588,654766,661190,662678,657207,661832,663645,649847,648713,650150,653798,659631,642010,652003,667557,640146,638919,633280,633461,627314,625446,628668,610681,618279,618076,625878,606221,612273,599467,598186,599968,596446,609525,592359,595453,590173,585951,578959,596052,634976,594504,596622,578925,598250,613865,585094,572024,579350,586504,571399,585831,570882,568217,570038,575761,611072,573745,566159,569083,569199,563369,562442,567647,558518,555580,559292,557802,543013,542649,554535,543714,545410,539381,552913,533097,546456,529889,531654,525622,527082,523786,519941,520446,560631,595545,517319,585067,514656,515437,507961,511500,535024,506459,519490,511470,498097,520170,499861,511206,492937,495540,491126,503078,485297,494389,486179,483134,488720,531645,485504,422282,462168,413349,395968,361980,361514,306038,274735,241754,234217,217252,209999,231620,166923,166509,163709,165105,160830,164546,153659,149094,152413,139579,132301,120239,118433,98963,98200,86664,82034,79679,72910,72707,70721,68372,64581,66689,63957,57986,55839,56901,50733,50012
2018年12月15日（昼）,4441849,4178133,3878846,3525218,3288176,3265097,2789757,2652559,2693077,2416148,2385607,2342903,2278478,2256053,2227932,2254686,2146731,2150436,2148528,2055652,2052456,2021969,2053827,1936635,1872995,1908946,1807441,1833373,1812250,1731755,1705545,1673696,1675898,1662358,1669216,1629217,1639577,1574352,1580869,1585787,1524200,1572024,1472994,1521173,1392717,1355348,1340277,1340554,1316198,1315844,1330868,1315576,1313702,1319109,1299843,1314369,1314273,1269796,1277614,1346116,1284970,1261239,1305766,1252383,1263177,1255371,1259213,1256216,1229045,1214157,1251525,1199152,1167856,1161378,1180621,1147661,1134452,1157418,1140733,1121969,1167544,1118180,1103827,1100789,1080548,1122892,1073427,1078294,1051035,1048485,1068043,1055960,1034109,1026828,1047542,1019365,997680,1007234,1013301,983363,977854,972613,965532,963984,971680,947286,977918,925350,908951,922931,909386,906058,896234,876158,931209,869516,902966,861277,854324,861809,863661,854329,862743,831895,846174,834889,834621,829516,840179,801188,802462,803367,784413,792981,790205,775174,779285,775012,774764,793317,765723,869612,764348,755124,756067,745887,765666,750740,730228,727541,737306,748348,719706,718109,721252,716716,761739,713065,707542,709055,705736,705181,706825,704375,716686,701013,689332,673880,668072,669452,670586,680954,655056,661235,662812,657227,662056,664078,649937,648760,650357,655067,659956,642081,652228,667825,640368,639509,633292,633553,627815,625566,628820,610695,618554,618481,626917,606310,612540,599504,598242,600120,596461,609788,592467,595625,590657,585945,578889,596289,637348,594881,596776,578927,598548,614673,585335,571948,579466,586871,571362,585064,571045,568262,570084,575998,612018,573929,566196,569190,569480,563465,562528,567727,558575,555566,559721,558255,542973,542747,554647,543789,545692,539430,553253,533188,546724,530150,531750,525645,527267,523878,520185,520555,563221,599426,517384,588626,514719,515599,508049,511633,536166,506832,519707,512192,498238,521030,500019,511929,493114,495728,491722,503601,485518,494506,486636,483493,489029,532436,487200,422279,463665,413730,396147,361954,361571,306159,274949,241823,234230,217276,210036,232086,166908,166511,163766,165286,160828,164733,153656,149109,152494,139572,132304,120299,118463,98954,98200,86667,82056,79680,72915,72717,70765,68388,64583,66719,64093,57984,55837,56960,50709,50006
2018年12月15日（夜）,4445850,4180591,3881250,3524798,3291647,3267404,2791010,2655177,2700411,2418377,2398026,2344590,2278813,2258108,2229824,2261921,2146855,2151333,2151407,2055723,2053633,2022677,2057011,1935628,1873499,1914942,1807619,1838186,1813360,1732046,1706869,1674405,1677668,1663714,1672199,1629322,1640889,1575156,1581807,1587627,1525177,1577805,1472964,1524298,1395570,1356218,1340875,1341394,1317021,1316793,1332167,1316064,1314703,1320565,1301477,1315191,1315810,1269819,1280859,1351207,1285756,1261383,1311063,1252649,1263757,1256337,1260245,1258026,1229564,1214506,1253965,1199817,1168296,1162122,1181244,1148606,1134426,1159212,1142425,1122628,1169431,1118941,1104589,1102298,1080729,1123952,1074477,1079009,1051161,1049028,1072225,1057992,1034972,1027390,1049336,1019790,998007,1012745,1014315,983767,977988,972944,967027,964859,975131,948342,980062,925632,909738,924111,909547,907267,896659,876228,935709,869775,904711,861587,854201,862083,864819,855123,873172,832109,847388,836337,835958,833965,842244,801510,802928,804237,784480,795531,790637,775902,779747,775311,774966,794303,766013,873225,765490,755308,757033,745927,766978,753269,730411,727729,737839,749701,719812,718192,721652,716739,767692,714315,708716,709484,706063,705710,707332,705741,719587,701597,689785,674074,668015,669447,670695,682146,655253,661350,663359,657356,662728,664797,650231,648864,650861,657721,660666,642324,652491,668588,640805,640624,633400,633954,628932,632257,629283,610886,619192,619377,628896,606639,613261,599616,598366,600593,596523,611056,592794,596050,591496,586129,578737,596710,642064,595911,597159,578984,599039,616593,585971,571775,579768,587731,571287,584289,571467,568294,570262,577668,614013,574780,566327,571103,570182,563638,562947,568304,558688,555552,560590,559161,542891,542994,554804,544044,546463,540156,553779,533327,547408,532559,532001,525815,527568,524096,522937,520794,566880,609565,517576,594399,514903,516047,508276,511962,537801,508090,520288,513474,498672,522893,500464,513434,493604,496184,492527,505885,486020,498155,487645,484337,489958,534157,490416,422301,466413,414720,396562,361939,361966,306661,275685,241988,234277,217345,210183,233271,166922,166552,163890,166717,161283,165114,153677,149131,152690,139566,132333,120385,118535,98934,98193,86697,82121,79652,72934,72741,70796,68409,64594,66853,64297,57970,55832,57068,50694,49984
